City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,olonkinbyen,70.9221,-8.7187,-4.71,62,100,11.61,SJ,1706721282
1,rongelap,11.1635,166.8941,26.12,81,100,10.63,MH,1706721303
2,port-aux-francais,-49.35,70.2167,4.27,74,97,9.78,TF,1706721185
3,iqaluit,63.7506,-68.5145,-33.15,62,20,8.23,CA,1706720915
4,georgetown,5.4112,100.3354,27.96,83,20,1.03,MY,1706720941
5,puerto natales,-51.7236,-72.4875,13.25,58,100,5.14,CL,1706721186
6,ribeira grande,38.5167,-28.7,17.22,72,40,4.63,PT,1706721188
7,lihue,21.9789,-159.3672,20.77,86,75,2.06,US,1706721194
8,el calafate,-50.3408,-72.2768,14.75,49,88,4.06,AR,1706721323
9,dudinka,69.4058,86.1778,-20.18,84,58,9.39,RU,1706721238
10,grytviken,-54.2811,-36.5092,6.62,44,95,0.67,GS,1706721181
11,east london,-33.0153,27.9116,25.52,73,0,6.69,ZA,1706721565
12,el granada,37.5027,-122.4694,16.62,75,100,12.35,US,1706721565
13,ushuaia,-54.8,-68.3,13.79,44,0,4.63,AR,1706721185
14,mossel bay,-34.1831,22.146,24.96,76,12,5.28,ZA,1706721566
15,edinburgh of the seven seas,-37.0676,-12.3116,16.84,68,99,5.76,SH,1706721182
16,thompson,55.7435,-97.8558,-13.13,92,100,4.27,CA,1706721199
17,invercargill,-46.4,168.35,10.57,97,100,0.08,NZ,1706721194
18,rocafuerte,-0.9167,-80.4333,27.83,87,100,1.81,EC,1706721480
19,bondo,3.8146,23.6866,28.18,31,100,0.92,CD,1706721568
20,argo,37.6333,22.7333,4.96,63,24,1.99,GR,1706721569
21,whitehorse,60.7161,-135.0538,-22.14,100,90,1.45,CA,1706721184
22,gillette,44.2911,-105.5022,10.53,48,0,4.63,US,1706721570
23,polyarnyy,69.1989,33.4478,-2.79,91,100,5.64,RU,1706721570
24,chibougamau,49.9168,-74.3659,-3.21,100,100,4.63,CA,1706721571
25,touros,-5.1989,-35.4608,30.78,58,43,7.01,BR,1706721287
26,saipan,15.1355,145.701,24.39,78,75,6.17,MP,1706721186
27,inongo,-1.95,18.2667,24.81,85,100,2.66,CD,1706721121
28,saint john,45.2727,-66.0677,-3.43,58,20,3.09,CA,1706721387
29,taoudenni,22.6783,-3.9836,27.24,10,0,4.33,ML,1706721573
30,pasighat,28.0667,95.3333,13.81,67,43,1.9,IN,1706721574
31,belmonte,-15.8631,-38.8828,29.31,66,88,5.25,BR,1706721574
32,happy valley-goose bay,53.3168,-60.3315,-1.83,54,100,8.23,CA,1706721540
33,mumford,5.2618,-0.759,28.33,72,28,5.85,GH,1706721494
34,adamstown,-25.066,-130.1015,22.59,88,100,5.64,PN,1706721180
35,mar del plata,-38.0023,-57.5575,32.01,75,0,5.66,AR,1706721109
36,papao,-17.75,-149.55,27.63,81,94,3.52,PF,1706721582
37,bolkhov,53.4433,36.0044,-1.33,91,100,4.15,RU,1706721582
38,st. john's,47.5649,-52.7093,-3.45,87,100,5.36,CA,1706721173
39,albany,42.6001,-73.9662,2.12,84,88,1.34,US,1706721215
40,bethel,41.3712,-73.414,2.9,74,100,2.57,US,1706720880
41,macapa,0.0389,-51.0664,32.99,62,40,4.12,BR,1706721584
42,kingston,17.997,-76.7936,31.25,60,4,1.34,JM,1706720942
43,puerto ayora,-0.7393,-90.3518,30.98,80,90,6.52,EC,1706721233
44,ust-nera,64.5667,143.2,-27.42,100,100,1.54,RU,1706721256
45,atafu village,-8.5421,-172.5159,29.14,70,82,2.02,TK,1706721586
46,tiksi,71.6872,128.8694,-25.56,98,52,2.38,RU,1706721275
47,houlton,46.1262,-67.8403,-7.77,62,100,3.09,US,1706721587
48,opuwo,-18.0607,13.84,28.25,41,80,6.71,NA,1706721587
49,bubaque,11.2833,-15.8333,26.01,67,100,4.55,GW,1706721260
50,ponta pora,-22.5361,-55.7256,28.95,61,40,3.6,BR,1706721588
51,villa gesell,-37.2639,-56.973,27.04,51,10,6.28,AR,1706721588
52,blackmans bay,-43.0167,147.3167,16.07,67,95,3.62,AU,1706721175
53,at taj,24.2049,23.2857,11.05,45,4,4.94,LY,1706721014
54,west island,-12.1568,96.8225,27.99,78,7,2.57,CC,1706721193
55,novokruchininskiy,51.7833,113.7667,-34.15,98,6,0.99,RU,1706721590
56,bredasdorp,-34.5322,20.0403,23.81,68,94,5.55,ZA,1706721274
57,nadbai,27.2333,77.2,17.55,57,46,3.83,IN,1706721591
58,namibe,-15.1961,12.1522,25.84,76,5,6.04,AO,1706721591
59,rio san juan,19.6439,-70.0763,28.98,66,67,2.93,DO,1706721305
60,shushtar,32.0455,48.8567,16.88,41,1,3.52,IR,1706721592
61,luanda,-8.8368,13.2343,26.0,86,75,2.06,AO,1706721592
62,guarapari,-20.6667,-40.4975,28.27,85,100,2.24,BR,1706721593
63,isafjordur,66.0755,-23.124,-1.98,86,100,5.66,IS,1706721173
64,pandan,14.0453,124.1694,24.83,84,100,4.82,PH,1706721594
65,sechura,-5.5569,-80.8222,27.85,67,100,4.97,PE,1706721288
66,vadso,70.0744,29.7487,-0.91,74,0,5.14,NO,1706721594
67,maslyanino,54.3436,84.2111,-9.99,96,100,2.04,RU,1706721595
68,tabou,4.423,-7.3528,28.96,74,35,4.9,CI,1706721467
69,college,64.8569,-147.8028,-36.07,74,20,0.0,US,1706721211
70,bilibino,68.0546,166.4372,-31.46,98,100,0.68,RU,1706721259
71,papatowai,-46.5619,169.4708,10.76,95,100,1.49,NZ,1706721596
72,carnarvon,-24.8667,113.6333,29.0,55,23,6.02,AU,1706721597
